id_cliente,nome,sobrenome,tipo,email,telefone,cpf_cnpj,data_nascimento,data_cadastro,cidade,estado
2115,Davi Luiz,Alves,PF,daviluiz_alves@hotmail.com,,10834726580,1961-05-09,2024-04-17,Pimenta,RO
2125,Cardoso & Associados Ltda.,,PJ,cardosoass@comercio.net.br,13987854496,70_214_598_0001_05,1967-03-22,2024-04-17,Moraes,RR
506,Silva & Ribeiro S/A,,PJ,silvaribei_@empresa.com.br,(47) 94539-6607,86.510.497/0001-03,1978-05-03,2024-04-18,da Rocha de Sales,AM
2175,Miranda & Oliveira EPP,,PJ,m@comercio.net.br,51948317040,49.630.857/0001-84,2001-08-06,2024-04-18,Rezende do Norte,SE
2384,Samuel,Rios,PF,samuel_rios@uol.com.br,+5521911753056,58237461991,1962-06-07,2024-04-18,Guerra,PR
2722,Natália,Farias,PF,natlia90@bol.com.br,61947233033,69074381278,1962-10-03,2024-04-18,Ramos,TO
2101,Theodoro,Monteiro,PF,rhavi.farias@gmail.com,(47) 97408-8256,065_792_841_02,1983-07-31,2024-04-19,Novaes,RN
137,Tecnologia Carvalho Ltda.,,PJ,tecnologia_@comercio.net.br,+5531969324867,02435761000100,1973-06-27,2024-04-20,Peixoto da Mata,CE
2352,Liz,Carvalho,PF,liz_carvalho@gmail.com,(61) 97312-6203,32510896415,2004-12-18,2024-04-20,Moraes da Mata,MG
2390,Isadora,Rodrigues,PF,isadora_rodrigues@ig.com.br,+5511969969783,15263089759,1992-07-27,2024-04-20,Nascimento Paulista,RJ
2487,Ian,Novaes,PF,gaelhenrique19@hotmail.com,(13) 93542-8616,83406259774,1993-12-20,2024-04-20,Moreira,RS
3283,José,da Conceição,PF,josdaconceio@bol.com.br,+5513967208372,16729584319,1993-06-13,2024-04-20,Pinto do Campo,AL
237,Luiz Felipe,Santos,PF,lsantos@hotmail.com,51987632989,87145963264,1991-04-02,2024-04-21,da Luz das Flores,PB
1766,Pietro,Barros,PF,pietro.barros@outlook.com,61962088510,437_850_912_14,2007-12-09,2024-04-21,Vasconcelos,SE
2171,Beatriz,Cirino,PF,beatriz_cirino@bol.com.br,51979107222,71046859366,1969-04-02,2024-04-21,Leão,AL
3170,Danilo,Novais,PF,dnovais@uol.com.br,(47) 96902-9830,943_180_267_87,1994-06-20,2024-04-21,Duarte da Mata,MG
3492,Lopes Comércio e Importadora EPP,,PJ,lopescomrc@empresa.com.br,51924992856,34.610.927/0001-65,1999-06-05,2024-04-21,da Conceição da Mata,AP
1922,Erick,Vargas,PF,erick94@uol.com.br,61957407411,391.658.024-89,1967-08-04,2024-04-22,Pinto de da Conceição,GO
2200,Pedro Miguel,Gonçalves,PF,pgonalves@terra.com.br,+5513915265937,730.692.841-40,2006-01-26,2024-04-22,Farias do Galho,RJ
2462,Ísis,Costa,PF,sis.costa@gmail.com,31956568766,183_425_076_53,2002-12-25,2024-04-22,Lima,RO
2495,Brenda,Nogueira,PF,brenda.nogueira@ig.com.br,+5547989042926,78902561402,1958-07-15,2024-04-22,Souza de Cunha,CE
408,Rodrigo,Silva,PF,rodrigo.silva@yahoo.com.br,(11) 96956-3611,418_392_576_28,1993-06-21,2024-04-23,Garcia,TO
1415,Carolina,Araújo,PF,carolina76@ig.com.br,(71) 91497-6366,945.720.316-06,1962-01-20,2024-04-23,Cavalcante,RN
1801,Sabrina,Viana,PF,sabrina79@outlook.com,+5531941274763,51983042633,1995-01-14,2024-04-23,Souza de da Conceição,SE
2402,Alana,,PF,alana.@gmail.com,11941078169,843.901.576-39,,2024-04-23,Pacheco do Campo,RR
2810,Kaique,Campos,PF,kaique14@uol.com.br,(21) 91907-9644,307.921.856-68,1984-05-19,2024-04-23,da Rocha de Minas,AM
2888,João Vitor,Correia,PF,joovitor.correia@hotmail.com,13994434756,128_450_796_30,1994-05-03,2024-04-23,Borges das Pedras,RR
3404,Arthur,da Cruz,PF,arthur.dacruz@yahoo.com.br,(41) 93128-7495,196.054.378-48,1965-07-02,2024-04-23,Nunes,PE
3455,Fernando,Sá,PF,fernando.s@ig.com.br,71957428386,65298107303,1966-04-17,2024-04-23,Fernandes de Viana,SP
174,Brayan,Sales,PF,brayan_sales@gmail.com,+5513910921995,134_076_852_62,1967-01-29,2024-04-24,Azevedo,RS
207,Bruna,Barros,PF,brunabarros@terra.com.br,,325.894.067-38,1969-03-19,2024-04-24,da Mata Alegre,RO
217,Maria Julia,Pimenta,PF,mariajulia.pimenta@terra.com.br,13945355845,642_083_175_07,1990-06-10,2024-04-24,Câmara do Norte,AM
1344,Raul,Pereira,PF,raulpereira@bol.com.br,(71) 98178-9416,91460725867,1981-09-08,2024-04-24,da Conceição da Praia,CE
1574,Júlia,das Neves,PF,jlia30@yahoo.com.br,41966795835,451_972_806_11,1962-11-29,2024-04-24,Vasconcelos,RJ
2745,Ana Júlia,da Luz,PF,anajlia_daluz@terra.con.br,+5561927635587,247.985.061-76,1962-07-25,2024-04-24,Peixoto,RR
3314,Henrique,Albuquerque,PF,henriquealbuquerque@terra.com.br,+5551913465688,074_931_265_34,2002-05-05,2024-04-24,Ribeiro do Oeste,MA
1830,João,Fonseca,PF,joo_fonseca@outlook.com,+5571937606130,631.540.278-07,1975-06-26,2024-04-25,Marques do Oeste,MA
2132,Maria Luísa,Cardoso,PF,marialusacardoso@hotmail.com,(51) 91173-5810,46587103235,2007-09-21,2024-04-25,Costa,AL
2513,Allana,Garcia,PF,allana_garcia@outlook.com,13924315059,754_916_283_28,1975-01-19,2024-04-25,Câmara,RR
3209,José Miguel,Cavalcanti,PF,jcavalcanti@bol.con.br,+5531970384049,493.761.508-48,1989-03-11,2024-04-25,Macedo de Fernandes,MA
1054,Caleb,Teixeira,PF,caleb36@uol.com.br,71925071561,46179380520,1982-07-06,2024-04-26,Mendes da Serra,PB
2572,Alexia,Siqueira,PF,alexiasiqueira@bol.com.br,47964272807,75286319491,2004-11-21,2024-04-26,Viana da Mata,TO
2636,Carolina,Pacheco,PF,carolina.pacheco@terra.com.br,11955264414,165_834_972_55,1975-08-01,2024-04-26,Moreira,MS
3050,Maria,Moreira,PF,maria18@outlook.com,51916386824,438_052_617_80,1986-06-22,2024-04-26,Santos de da Cunha,PI
157,Jesus Informática e Sistemas S/S,,PJ,jesusinfor.@empresa.com.br,71950415528,68024795000101,1962-11-15,2024-04-27,Rocha das Pedras,PE
514,Ana Lívia,Correia,PF,acorreia@uol.com.br,(51) 93533-7847,218_346_709_69,1958-02-14,2024-04-27,Rios do Sul,SC
2098,Gael Henrique,Aparecida,PF,gaparecida@bol.com.br,(11) 95470-1255,391.682.507-03,1998-06-16,2024-04-27,Vieira de Moreira,AL
2714,Ana Lívia,da Rosa,PF,adarosa@yahoo.com.br,+5561967562955,730_918_245_60,1984-06-23,2024-04-27,da Rocha,SP
2914,Soluções Nascimento S/A,,PJ,soluesnasc_@empresa.com.br,+5561968644765,01.637.458/0001-19,1968-06-13,2024-04-27,Castro,RN
124,Mariah,Pastor,PF,mariah.pastor@hotmail.com,+5541951724638,920.314.876-04,1995-01-19,2024-04-28,Novaes Alegre,AP
578,João Gabriel,Câmara,PF,joogabriel85@yahoo.com.br,+5541920365953,879.136.204-04,1990-07-02,2024-04-28,Borges Alegre,PB
2091,Rhavi,Jesus,PF,rhavi.jesus@terra.com.br,+5561955224731,193_758_402_04,1960-03-09,2024-04-28,Casa Grande da Serra,RR
3318,Ana Clara,Freitas,PF,anaclara_freitas@yahoo.com.br,(21) 92175-4150,397_584_216_46,1970-06-08,2024-04-28,Ramos da Mata,RJ
1578,Bárbara,Castro,PF,brbara_castro@uol.com.br,+5521914311146,41372985646,1981-11-19,2024-04-29,Freitas das Flores,RJ
2382,Moraes & Associados S/A,,PJ,moraesasso@comercio.net.br,+5571957728542,30416529000151,2007-10-20,2024-04-29,Cassiano,RO
3250,Vinícius,Nogueira,PF,vincius.nogueira@yahoo.com.br,(13) 93458-8109,40613729803,,2024-04-29,Sales de Casa Grande,PI
482,João Vitor,Cardoso,PF,joovitor95@yahoo.com.br,+5551994889092,17208963568,1958-07-21,2024-04-30,Rodrigues de da Cruz,SC
1502,Dom,Rezende,PF,dom_rezende@terra.com.br,,218.734.650-17,1965-10-30,2024-04-30,Ribeiro,PB
2204,Maria Isis,da Mota,PF,mariaisis_damota@uol.com.br,(71) 94952-8540,709.548.132-60,,2024-04-30,Souza,MT
2244,Sistemas Freitas ME,,PJ,sistemasfr.@comercio.net.br,47932444209,47.856.310/0001-76,1974-12-11,2024-04-30,Santos das Pedras,TO
2267,Maria Júlia,Gonçalves,PF,mariajlia_gonalves@hotmail.con,(61) 95042-7223,02374165817,,2024-04-30,Alves de da Conceição,ES
587,Luiz Miguel,Santos,PF,lsantos@ig.com.br,(21) 99751-1862,942_351_086_89,1982-06-30,2024-05-01,Cavalcante,RJ
1577,Dom,Viana,PF,dom.viana@yahoo.com.br,+5547916612949,143_892_067_96,1958-05-08,2024-05-01,Carvalho,MS
2262,Rocha & Ferreira S.A.,,PJ,rochaferre@empresa.com.br,+5551976561215,93_120_457_0001_10,1965-07-27,2024-05-01,Abreu,RO
2387,Ana Liz,Sousa,PF,analizsousa@yahoo.com.br,71975594056,258_934_071_05,1962-11-28,2024-05-01,Gomes do Oeste,PB
478,Marcos Vinicius,Carvalho,PF,marcosvinicius89@ig.com.br,(21) 96770-6587,856_793_210_68,1977-01-12,2024-05-02,Marques,ES
490,Daniel,Albuquerque,PF,daniel.albuquerque@ig.com.br,11945416068,704_861_529_01,1981-07-17,2024-05-02,Barbosa,RS
1398,Rhavi,Pereira,PF,rhavi97@hotmail.com,61943012629,18360597286,1984-02-23,2024-05-02,Siqueira Grande,RO
1408,Vitória,Costa,PF,vcosta@yahoo.com.br,+5561996318852,49583126098,2006-07-05,2024-05-02,Cassiano da Praia,MT
1743,Nicole,Monteiro,PF,nicole_monteiro@ig.com.br,31943574115,26981034506,1959-02-11,2024-05-02,Viana,PA
1892,Valentim,Mendonça,PF,valentimmendona@hotmail.com,(51) 93152-7213,62891437004,1966-06-20,2024-05-02,Teixeira,MT
1965,Kaique,Guerra,PF,kguerra@gmail.com,(51) 98416-3467,132_605_987_40,1997-08-22,2024-05-02,da Cruz de Minas,CE
2972,Lima & Costa EI,,PJ,limacostae@comercio.net.br,+5511936877400,47192650000140,1981-07-15,2024-05-02,Vargas,AL
64,Ana Sophia,Correia,PF,anasophia46@bol.com.br,13948243360,539.642.701-99,1998-08-06,2024-05-03,Moreira,RN
129,Leandro,Araújo,PF,leandro.arajo@hotmail.com,+5561993213583,659.014.382-05,1959-04-28,2024-05-03,Duarte,PI
464,Nunes & Dias EI,,PJ,nunesdiase.@empresa.com.br,+5551945848617,06513294000131,1996-11-23,2024-05-03,da Rosa,RR
1775,Olívia,Cardoso,PF,olvia.cardoso@ig.com.br,61919985673,985.103.742-79,1992-07-02,2024-05-03,da Cunha Grande,AP
1882,Vieira & Lopes ME,,PJ,vieiralope.@comercio.net.br,+5571968609770,65.871.204/0001-43,1984-10-06,2024-05-03,Santos de Câmara,ES
2084,Daniel,Costela,PF,dcostela@hotmail.com,(11) 91583-2238,40879152630,,2024-05-03,Costela da Praia,RO
2571,Luigi,Gonçalves,PF,luigi.gonalves@bol.com.br,+5561949878392,40562891315,1969-05-04,2024-05-03,Gonçalves Verde,DF
1153,Rafaela,Aparecida,PF,raparecida@gmail.com,(41) 96662-8448,91825607303,1986-03-14,2024-05-04,Santos da Praia,MG
1377,Pedro Henrique,Montenegro,PF,pedrohenrique_montenegro@outlook.com,(11) 98039-2711,21357084960,1987-05-30,2024-05-04,Vargas,AL
2893,Pedro,Monteiro,PF,pedro73@outlook.com,+5551913373636,56417920399,1957-04-30,2024-05-04,da Mata,PR
1889,Carlos Eduardo,Sousa,PF,carloseduardo_sousa@ig.com.br,51980484282,708.216.543-90,1957-03-06,2024-05-05,Aparecida Paulista,GO
2456,Ísis,Rios,PF,sis1@hotmail.com,(11) 94302-6877,906.457.318-20,1961-04-29,2024-05-05,Gonçalves,AC
2831,Bianca,Melo,PF,bianca_melo@ig.com.br,+5561974579196,651.290.374-99,1982-11-02,2024-05-05,Almeida,AL
2842,Thomas,Rocha,PF,thomas78@hotmail.com,+5547993007053,618.290.745-20,1992-06-25,2024-05-06,Moura das Flores,RR
3368,Maria Clara,Cassiano,PF,mariaclaracassiano@gmail.con,+5541957029855,587.904.236-74,,2024-05-06,da Conceição de Lima,ES
467,Luiz Miguel,Andrade,PF,luizmiguelandrade@uol.com.br,+5571970239428,298_413_675_64,1963-05-24,2024-05-07,Campos,SE
1826,Vitor Hugo,Aparecida,PF,vaparecida@ig.com.br,(21) 91434-8418,958_012_346_24,1960-01-17,2024-05-07,Cavalcante,PA
2157,Gabriel,da Mata,PF,gabriel19@bol.com.br,,796_548_310_66,1998-01-16,2024-05-07,Sales Alegre,AP
2434,Oliveira Importadora e Soluções Ltda.,,PJ,oliveiraim@empresa.com.br,(31) 92700-7102,57.314.890/0001-23,1973-04-11,2024-05-07,da Mota de Caldeira,RN
3087,Almeida & Associados EI,,PJ,almeidaass.@comercio.net.br,21970341252,80546139000174,,2024-05-07,Aparecida,AM
3176,Souza & Jesus EPP,,PJ,s@comercio.net.br,+5511942363641,62197830000108,2007-12-14,2024-05-07,Farias,GO
375,Melina,Monteiro,PF,melina_monteiro@bol.com.br,47995369308,607_285_913_59,1971-06-24,2024-05-08,Martins do Oeste,AM
932,Felipe,da Mota,PF,felipe_damota@bol.com.br,+5511954349558,24706918502,2006-03-16,2024-05-08,Nascimento do Amparo,MG
2316,Ana Carolina,Almeida,PF,anacarolinaalmeida@hotmail.com,+5551918447973,80652174949,1992-02-13,2024-05-08,Correia,SP
2595,Aurora,Camargo,PF,aurora1@uol.com.br,,13872604562,1975-10-12,2024-05-08,Silveira de Siqueira,SE
3201,Carolina,Correia,PF,carolina28@yahoo.com.br,47996071566,34952076865,1985-12-01,2024-05-08,Duarte do Amparo,PA
1188,Theodoro,Brito,PF,theodoro.brito@hotmail.com,21961552971,693_748_201_96,1967-12-28,2024-05-09,Teixeira de Martins,PE
1561,Alana,Martins,PF,alana.martins@outlook.com,11939077505,176.280.543-07,1961-03-20,2024-05-09,Silveira,PA
2726,Sistemas Araújo EI,,PJ,sistemasar.@empresa.com.br,+5551938198410,02458769000183,1991-07-03,2024-05-09,Leão,ES
2939,Davi Luiz,Barbosa,PF,daviluiz36@ig.com.br,,32017954888,1970-02-07,2024-05-09,Ferreira do Galho,AL
153,Davi Miguel,Novais,PF,davimiguel.novais@outlook.com,,08215396470,1978-03-13,2024-05-10,Marques dos Dourados,GO
1257,Kaique,Pereira,PF,kaique_pereira@gmail.com,(13) 96096-4431,04731826969,1968-01-19,2024-05-10,Moura de Casa Grande,PE
1780,Anthony Gabriel,Almeida,PF,anthonygabriel.almeida@yahoo.com.br,+5547993821844,50627481949,1999-12-26,2024-05-10,Costa,AL
2049,Leandro,Abreu,PF,leandro_abreu@gmail.com,(47) 92441-5698,51967234043,1999-07-12,2024-05-10,Nascimento,MS
2686,Isadora,Vieira,PF,ivieira@uol.com.br,(21) 97433-3691,230_184_567_26,1989-05-12,2024-05-10,Vieira,PB
3126,Maria Luiza,Moura,PF,marialuizamoura@yahoo.com.br,(47) 99598-9425,630.572.198-02,1981-05-23,2024-05-10,Castro Alegre,ES
777,Antony,Pastor,PF,antony_pastor@ig.com.br,+5511918988405,867_039_514_20,1973-02-24,2024-05-11,Barros,PE
1878,Luna,Guerra,PF,luna_guerra@uol.com.br,+5531930232991,430.926.718-13,1981-11-21,2024-05-11,das Neves,AM
2195,Ana Vitória,Fernandes,PF,anavitria49@hotmail.com,(71) 93058-6676,07465821967,1980-03-25,2024-05-11,Duarte da Serra,PA
2926,Davi Lucca,Ferreira,PF,davilucca_ferreira@gmail.com,31961275061,280.317.649-13,1981-04-22,2024-05-11,Cavalcanti,RJ
389,Guilherme,Ferreira,PF,guilhermeferreira@gmail.com,(13) 99256-4604,21548679364,,2024-05-12,Gonçalves,SC
466,Sophie,Cavalcanti,PF,sophiecavalcanti@terra.com.br,(61) 99779-5808,305.821.967-95,1962-10-12,2024-05-12,Pimenta,PE
625,Alexandre,Lima,PF,alexandrelima@yahoo.com.br,+5513916803227,12987540388,,2024-05-12,Teixeira do Campo,RS
741,Luan,Jesus,PF,luan_jesus@yahoo.com.br,61954368622,015.674.982-30,1965-05-27,2024-05-12,Cassiano de Goiás,SC
835,Henrique,Barbosa,PF,hbarbosa@terra.com.br,51950747323,61890372595,1994-10-23,2024-05-12,Sousa,TO
1302,Pereira & Silva EI,,PJ,pereirasil@empresa.com.br,+5551919615211,81569324000147,1993-06-03,2024-05-12,das Neves,AP
1536,Arthur,Nunes,PF,anunes@outlook.com,(41) 98320-6414,150.894.326-51,1958-08-31,2024-05-12,Farias de Abreu,MT
1559,Benicio,Cardoso,PF,benicio.cardoso@yahoo.com.br,47920957036,643.581.079-66,1987-09-14,2024-05-12,Nascimento,CE
3273,Emanuella,Silveira,PF,kevin.moraes@hotmail.com,(41) 91478-5836,94273061570,1979-05-11,2024-05-12,Cassiano de Campos,CE
240,Mendes & Associados ME,,PJ,mendesasso_@comercio.net.br,+5531935428093,49817052000144,1966-08-17,2024-05-13,Rezende,GO
387,Comércio Machado S/A,,PJ,comrciomac_@comercio.net.br,47965114216,91.687.354/0001-01,2008-03-26,2024-05-13,Barros,GO
548,Benicio,Alves,PF,bernardo78@ig.com.br,+5571930481680,620.347.918-78,,2024-05-13,Cardoso,MG
922,Bruno,da Costa,PF,brunodacosta@terra.com.br,(21) 94967-6610,43790261599,2004-03-18,2024-05-13,Pereira,MS
1077,Josué,da Rocha,PF,josu.darocha@hotmail.com,+5551972344094,863_590_721_30,,2024-05-13,Alves,BA
1840,Gustavo,Borges,PF,gustavo_borges@bol.com.br,(31) 92867-5771,92540317634,1987-07-31,2024-05-13,Rios do Norte,MG
2751,Sophie,Fogaça,PF,alana.martins@gmail.com,(13) 95845-4473,653.974.218-55,,2024-05-13,Camargo,DF
3302,Ísis,Campos,PF,sis54@uol.com.br,+5561927207709,53819647228,,2024-05-13,Cassiano,PR
3372,Bernardo,Vasconcelos,PF,bernardo_vasconcelos@ig.com.br,71962086172,392_807_156_40,1981-01-04,2024-05-13,Rezende de Melo,RS
1035,Cunha & Jesus S.A.,,PJ,c@comercio.net.br,41960819814,20867451000138,1994-05-17,2024-05-14,Sales de da Luz,RO
1066,Garcia Distribuidora e Informática EIRELI,,PJ,garciadist@comercio.net.br,+5511916224391,45037681000109,2007-08-21,2024-05-14,da Costa de Cunha,MS
49,Luana,Araújo,PF,luana36@bol.com.br,+5551913677106,476.185.209-76,1999-01-26,2024-05-15,Novaes,SE
841,Luigi,Azevedo,PF,lazevedo@outlook.com,61965249054,941_502_876_94,2000-03-26,2024-05-15,Rodrigues,PI
2721,Vinicius,Mendonça,PF,vinicius_mendona@terra.com.br,31981674066,85074612390,2004-05-07,2024-05-15,Monteiro de Pacheco,RS
136,Mariana,Caldeira,PF,mariana2@hotmail.com,+5571965113286,341_578_290_50,,2024-05-16,da Conceição,RS
583,Caio,Novais,PF,joaquim77@terra.com.br,(61) 97720-7479,127_345_086_80,1996-02-19,2024-05-16,Borges das Flores,CE
1435,Oliver,Cunha,PF,ocunha@terra.com.br,11913905413,71482063590,1988-12-20,2024-05-16,Peixoto Verde,AC
1737,Ana Julia,Costa,PF,anajulia_costa@hotmail.com,(11) 91902-1645,28973614509,,2024-05-16,Nogueira de da Mota,RR
2603,Rodrigues & Associados S/A,,PJ,rodriguesa_@empresa.com.br,(21) 91451-8990,87513264000127,1990-11-06,2024-05-16,Barros,GO
2717,Lunna,Vargas,PF,lvargas@terra.com.br,+5531933462104,108.327.465-17,1997-03-30,2024-05-16,Campos,PR
2944,Camila,Fernandes,PF,camila.fernandes@uol.com.br,11934866518,59072364856,,2024-05-16,Cirino de Fernandes,MT
3172,Manuella,da Conceição,PF,manuelladaconceio@gmail.com,+5541945158559,79418532646,,2024-05-16,Cassiano de Moraes,PA
2112,Alana,das Neves,PF,alana_dasneves@uol.com.br,(11) 98228-9585,247.501.698-11,1956-04-13,2024-05-17,Carvalho da Mata,AC
2690,Helena,Fonseca,PF,helenafonseca@yahoo.com.br,+5551978262302,425.019.783-23,2002-06-07,2024-05-17,Souza de Vieira,PR
2771,Maria Liz,Gomes,PF,emillyandrade@yahoo.com.br,,139_570_864_93,1987-08-31,2024-05-17,Cassiano,MG
3303,Sabrina,Leão,PF,sabrinaleo@terra.com.br,(11) 97073-4106,973.021.845-50,1987-02-15,2024-05-17,da Cruz do Campo,PE
450,Vitor Hugo,Rocha,PF,vitorhugorocha@uol.com.br,31933308807,750_492_316_80,1986-04-23,2024-05-18,Santos,GO
1332,Consultoria Costa EIRELI,,PJ,consultori92@comercio.net.br,+5571995118814,20348975000112,1996-01-28,2024-05-18,Ferreira da Mata,AL
1385,Alexia,Sampaio,PF,alexiasampaio@terra.com.br,11944051033,46053298115,1978-01-24,2024-05-18,da Rosa,PI
1639,Ana Júlia,da Mata,PF,adamata@terra.com.br,(21) 91928-8524,427.983.160-22,1981-02-13,2024-05-18,Sousa de Moreira,RJ
2797,Maria Flor,da Luz,PF,mariaflordaluz@terra.com.br,,480_139_275_04,1970-07-13,2024-05-18,Peixoto,RN
2989,Sara,Vasconcelos,PF,sara_vasconcelos@bol.com.br,+5561979896323,487.196.203-22,,2024-05-18,Lopes,SE
839,Yuri,Silva,PF,yurisilva@yahoo.com.br,+5511943751946,106.528.347-44,1958-11-16,2024-05-19,Peixoto de Nunes,ES
899,Luiz Gustavo,Siqueira,PF,luizgustavo.siqueira@yahoo.com.br,41914173882,079.268.541-58,1962-04-03,2024-05-19,da Mota,AC
2164,Mariane,da Rosa,PF,marianedarosa@terra.com.br,+5513956058013,426_390_185_15,2002-11-16,2024-05-19,Pacheco,MS
2338,Ana Julia,Cassiano,PF,anajuliacassiano@gmail.com,+5531918175848,938_427_150_05,2003-05-30,2024-05-19,da Mota Grande,MA
2868,Isabela,da Rosa,PF,isabela_darosa@ig.com.br,61948601306,786_425_031_90,1998-07-28,2024-05-19,Campos,RO
2947,Isadora,Ferreira,PF,iferreira@outlook.com,47955829376,071.284.593-32,2006-07-30,2024-05-19,Leão,PB
3081,Maysa,Marques,PF,mmarques@bol.com.br,(47) 97395-6444,973_248_016_50,1963-11-11,2024-05-19,Costa,RN
3310,Comércio Costa Ltda.,,PJ,comrciocos.@empresa.con.br,(47) 95239-8710,17630859000187,,2024-05-19,Novaes Paulista,MG
673,Benjamim,Pinto,PF,benjamim89@hotmail.com,+5551922241323,45297630134,1965-09-27,2024-05-20,Sousa,BA
1407,Erick,Monteiro,PF,erickmonteiro@terra.com.br,11967539632,53916708457,1973-02-20,2024-05-20,da Rocha da Mata,SC
1469,Maria Helena,Freitas,PF,mariahelena.freitas@hotmail.com,+5551967096402,29870315640,1978-01-24,2024-05-20,Cunha,SP
1928,Oliver,Gonçalves,PF,oliver_gonalves@gmail.com,41989696947,815.340.792-97,1958-05-19,2024-05-20,Montenegro,DF
3239,Gael Henrique,Duarte,PF,gaelhenrique56@yahoo.com.br,+5521927141578,741_903_268_87,1962-12-05,2024-05-20,Moraes,PE
28,Duarte & Associados S/S,,PJ,duarteasso21@comercio.net.br,41950757507,29314605000139,1975-05-15,2024-05-21,Moreira,PB
197,Julia,Azevedo,PF,juliaazevedo@gmail.com,(31) 94965-2436,548_160_793_00,,2024-05-21,Novaes,AP
1078,Lucas Gabriel,da Mota,PF,lucasgabriel26@terra.com.br,+5511972338428,64275130871,1982-01-05,2024-05-21,Melo,DF
1172,Pedro,Camargo,PF,pedro79@terra.com.br,+5511948761646,94851032633,1979-06-13,2024-05-21,Cassiano,PB
1360,Nascimento & Andrade S/A,,PJ,nascimento.@comercio.net.br,47986798400,57_290_314_0001_93,,2024-05-21,Gomes Verde,AC
1706,Monteiro & Associados S/A,,PJ,monteiroas26@empresa.com.br,(47) 92567-2432,16.780.953/0001-50,,2024-05-21,Borges,CE
2645,Maria Sophia,Barbosa,PF,mbarbosa@outlook.com,51949722482,614_578_039_84,1979-11-10,2024-05-21,Ribeiro,TO
3085,Isabela,Camargo,PF,icamargo@terra.com.br,(31) 91173-9895,35690241725,1995-12-03,2024-05-21,Freitas de Garcia,SE
32,Isabella,Ribeiro,PF,isabella.ribeiro@outlook.com,(47) 93792-3025,53120897612,1998-08-08,2024-05-22,Azevedo da Praia,PR
559,Importadora Souza ME,,PJ,importador_@empresa.com.br,13925217033,91260834000191,1988-02-27,2024-05-22,Almeida,PR
2407,Isabel,da Cruz,PF,isabel_dacruz@hotmail.com,(13) 96213-4742,421.790.638-22,1964-02-07,2024-05-22,Freitas,PA
3068,Esther,Montenegro,PF,esther.montenegro@hotmail.com,(11) 92530-5515,472_019_853_88,1964-10-29,2024-05-22,Oliveira,AM
3275,Enzo,Pacheco,PF,enzo_pacheco@ig.com.br,21922209081,740.823.695-38,1976-04-02,2024-05-22,Barbosa de Ribeiro,AC
3335,Otto,da Luz,PF,ottodaluz@hotmail.com,+5511968843011,32598471628,1983-12-17,2024-05-23,Cardoso de Minas,MA
