id_funcionario,nome,sobrenome,cargo,data_admissao,salario,id_departamento,departamento_nome,id_loja,loja_nome,loja_tipo,loja_cidade,loja_estado,cpf_normalizado,cpf_mascarado,tempo_casa_anos,tempo_casa_meses,faixa_salarial
24,Marcelo,Pimenta,Vendedor,2021-03-25,8350.85,1,Vendas,2,Loja Paulista,Física,São Paulo,SP,09561743884,*********84,5,61,Sênior
28,Marcos Vinicius,Gonçalves,Vendedor,2025-01-16,8466.12,1,Vendas,2,Loja Paulista,Física,São Paulo,SP,59732046180,*********80,1,15,Sênior
27,Vinicius,Garcia,Vendedor,2023-07-24,5456.35,1,Vendas,2,Loja Paulista,Física,São Paulo,SP,03475968193,*********93,2,33,Pleno
34,Ana Vitória,Gomes,Supervisor de Vendas,2024-05-28,4425.56,1,Vendas,3,Loja Santo André,Física,Santo André,SP,73950218432,*********32,1,22,Pleno
33,Aurora,Garcia,Vendedor,2026-02-07,6700.83,1,Vendas,3,Loja Santo André,Física,Santo André,SP,38296015730,*********30,0,2,Sênior
38,Bianca,Costela,Supervisor de Vendas,2021-07-13,9926.68,1,Vendas,3,Loja Santo André,Física,Santo André,SP,42631078969,*********69,4,57,Especialista
39,Emanuelly,Vargas,Vendedor,2021-07-11,10687.12,1,Vendas,3,Loja Santo André,Física,Santo André,SP,93758024692,*********92,4,57,Especialista
36,Gabriela,Siqueira,Vendedor,2025-03-03,8169.68,1,Vendas,3,Loja Santo André,Física,Santo André,SP,64279581002,*********02,1,13,Sênior
37,Mariane,Porto,Supervisor de Vendas,2024-10-02,9464.27,1,Vendas,3,Loja Santo André,Física,Santo André,SP,76059432883,*********83,1,18,Especialista
35,Marina,Correia,Supervisor de Vendas,2025-07-27,11570.37,1,Vendas,3,Loja Santo André,Física,Santo André,SP,50391642707,*********07,0,8,Especialista
31,Melissa,Sampaio,Vendedor,2025-09-20,10523.47,1,Vendas,3,Loja Santo André,Física,Santo André,SP,35628791482,*********82,0,6,Especialista
40,Olivia,Costela,Vendedor,2020-05-12,8543.27,1,Vendas,3,Loja Santo André,Física,Santo André,SP,74329618591,*********91,5,72,Sênior
32,Yuri,Nogueira,Supervisor de Vendas,2023-03-22,7840.5,1,Vendas,3,Loja Santo André,Física,Santo André,SP,25964180701,*********01,3,37,Sênior
