id_cliente,nome,sobrenome,tipo,telefone,data_nascimento,data_cadastro,cidade,estado,cpf_cnpj_normalizado,email_valido,idade,dias_desde_cadastro,cpf_cnpj_mascarado,email_mascarado
2175,Miranda & Oliveira EPP,,PJ,51948317040,2001-08-06,2024-04-18,Rezende do Norte,SE,49630857000184,True,24.0,725,************84,m***@comercio.net.br
2384,Samuel,Rios,PF,+5521911753056,1962-06-07,2024-04-18,Guerra,PR,58237461991,True,63.0,725,*********91,s***@uol.com.br
2722,Natália,Farias,PF,61947233033,1962-10-03,2024-04-18,Ramos,TO,69074381278,True,63.0,725,*********78,n***@bol.com.br
506,Silva & Ribeiro S/A,,PJ,(47) 94539-6607,1978-05-03,2024-04-18,da Rocha de Sales,AM,86510497000103,True,47.0,725,************03,s***@empresa.com.br
2101,Theodoro,Monteiro,PF,(47) 97408-8256,1983-07-31,2024-04-19,Novaes,RN,06579284102,True,42.0,724,*********02,r***@gmail.com
137,Tecnologia Carvalho Ltda.,,PJ,+5531969324867,1973-06-27,2024-04-20,Peixoto da Mata,CE,02435761000100,True,52.0,723,************00,t***@comercio.net.br
2352,Liz,Carvalho,PF,(61) 97312-6203,2004-12-18,2024-04-20,Moraes da Mata,MG,32510896415,True,21.0,723,*********15,l***@gmail.com
2390,Isadora,Rodrigues,PF,+5511969969783,1992-07-27,2024-04-20,Nascimento Paulista,RJ,15263089759,True,33.0,723,*********59,i***@ig.com.br
2487,Ian,Novaes,PF,(13) 93542-8616,1993-12-20,2024-04-20,Moreira,RS,83406259774,True,32.0,723,*********74,g***@hotmail.com
3283,José,da Conceição,PF,+5513967208372,1993-06-13,2024-04-20,Pinto do Campo,AL,16729584319,True,32.0,723,*********19,j***@bol.com.br
1766,Pietro,Barros,PF,61962088510,2007-12-09,2024-04-21,Vasconcelos,SE,43785091214,True,18.0,722,*********14,p***@outlook.com
2171,Beatriz,Cirino,PF,51979107222,1969-04-02,2024-04-21,Leão,AL,71046859366,True,57.0,722,*********66,b***@bol.com.br
237,Luiz Felipe,Santos,PF,51987632989,1991-04-02,2024-04-21,da Luz das Flores,PB,87145963264,True,35.0,722,*********64,l***@hotmail.com
3170,Danilo,Novais,PF,(47) 96902-9830,1994-06-20,2024-04-21,Duarte da Mata,MG,94318026787,True,31.0,722,*********87,d***@uol.com.br
3492,Lopes Comércio e Importadora EPP,,PJ,51924992856,1999-06-05,2024-04-21,da Conceição da Mata,AP,34610927000165,True,26.0,722,************65,l***@empresa.com.br
1922,Erick,Vargas,PF,61957407411,1967-08-04,2024-04-22,Pinto de da Conceição,GO,39165802489,True,58.0,721,*********89,e***@uol.com.br
2200,Pedro Miguel,Gonçalves,PF,+5513915265937,2006-01-26,2024-04-22,Farias do Galho,RJ,73069284140,True,20.0,721,*********40,p***@terra.com.br
2462,Ísis,Costa,PF,31956568766,2002-12-25,2024-04-22,Lima,RO,18342507653,True,23.0,721,*********53,s***@gmail.com
2495,Brenda,Nogueira,PF,+5547989042926,1958-07-15,2024-04-22,Souza de Cunha,CE,78902561402,True,67.0,721,*********02,b***@ig.com.br
1415,Carolina,Araújo,PF,(71) 91497-6366,1962-01-20,2024-04-23,Cavalcante,RN,94572031606,True,64.0,720,*********06,c***@ig.com.br
1801,Sabrina,Viana,PF,+5531941274763,1995-01-14,2024-04-23,Souza de da Conceição,SE,51983042633,True,31.0,720,*********33,s***@outlook.com
2402,Alana,,PF,11941078169,,2024-04-23,Pacheco do Campo,RR,84390157639,True,,720,*********39,a***@gmail.com
2810,Kaique,Campos,PF,(21) 91907-9644,1984-05-19,2024-04-23,da Rocha de Minas,AM,30792185668,True,41.0,720,*********68,k***@uol.com.br
2888,João Vitor,Correia,PF,13994434756,1994-05-03,2024-04-23,Borges das Pedras,RR,12845079630,True,31.0,720,*********30,j***@hotmail.com
3404,Arthur,da Cruz,PF,(41) 93128-7495,1965-07-02,2024-04-23,Nunes,PE,19605437848,True,60.0,720,*********48,a***@yahoo.com.br
3455,Fernando,Sá,PF,71957428386,1966-04-17,2024-04-23,Fernandes de Viana,SP,65298107303,True,60.0,720,*********03,f***@ig.com.br
408,Rodrigo,Silva,PF,(11) 96956-3611,1993-06-21,2024-04-23,Garcia,TO,41839257628,True,32.0,720,*********28,r***@yahoo.com.br
1344,Raul,Pereira,PF,(71) 98178-9416,1981-09-08,2024-04-24,da Conceição da Praia,CE,91460725867,True,44.0,719,*********67,r***@bol.com.br
1574,Júlia,das Neves,PF,41966795835,1962-11-29,2024-04-24,Vasconcelos,RJ,45197280611,True,63.0,719,*********11,j***@yahoo.com.br
174,Brayan,Sales,PF,+5513910921995,1967-01-29,2024-04-24,Azevedo,RS,13407685262,True,59.0,719,*********62,b***@gmail.com
207,Bruna,Barros,PF,,1969-03-19,2024-04-24,da Mata Alegre,RO,32589406738,True,57.0,719,*********38,b***@terra.com.br
217,Maria Julia,Pimenta,PF,13945355845,1990-06-10,2024-04-24,Câmara do Norte,AM,64208317507,True,35.0,719,*********07,m***@terra.com.br
2745,Ana Júlia,da Luz,PF,+5561927635587,1962-07-25,2024-04-24,Peixoto,RR,24798506176,True,63.0,719,*********76,a***@terra.con.br
3314,Henrique,Albuquerque,PF,+5551913465688,2002-05-05,2024-04-24,Ribeiro do Oeste,MA,07493126534,True,23.0,719,*********34,h***@terra.com.br
1830,João,Fonseca,PF,+5571937606130,1975-06-26,2024-04-25,Marques do Oeste,MA,63154027807,True,50.0,718,*********07,j***@outlook.com
2132,Maria Luísa,Cardoso,PF,(51) 91173-5810,2007-09-21,2024-04-25,Costa,AL,46587103235,True,18.0,718,*********35,m***@hotmail.com
2513,Allana,Garcia,PF,13924315059,1975-01-19,2024-04-25,Câmara,RR,75491628328,True,51.0,718,*********28,a***@outlook.com
3209,José Miguel,Cavalcanti,PF,+5531970384049,1989-03-11,2024-04-25,Macedo de Fernandes,MA,49376150848,True,37.0,718,*********48,j***@bol.con.br
1054,Caleb,Teixeira,PF,71925071561,1982-07-06,2024-04-26,Mendes da Serra,PB,46179380520,True,43.0,717,*********20,c***@uol.com.br
2572,Alexia,Siqueira,PF,47964272807,2004-11-21,2024-04-26,Viana da Mata,TO,75286319491,True,21.0,717,*********91,a***@bol.com.br
2636,Carolina,Pacheco,PF,11955264414,1975-08-01,2024-04-26,Moreira,MS,16583497255,True,50.0,717,*********55,c***@terra.com.br
3050,Maria,Moreira,PF,51916386824,1986-06-22,2024-04-26,Santos de da Cunha,PI,43805261780,True,39.0,717,*********80,m***@outlook.com
157,Jesus Informática e Sistemas S/S,,PJ,71950415528,1962-11-15,2024-04-27,Rocha das Pedras,PE,68024795000101,True,63.0,716,************01,j***@empresa.com.br
2098,Gael Henrique,Aparecida,PF,(11) 95470-1255,1998-06-16,2024-04-27,Vieira de Moreira,AL,39168250703,True,27.0,716,*********03,g***@bol.com.br
2714,Ana Lívia,da Rosa,PF,+5561967562955,1984-06-23,2024-04-27,da Rocha,SP,73091824560,True,41.0,716,*********60,a***@yahoo.com.br
2914,Soluções Nascimento S/A,,PJ,+5561968644765,1968-06-13,2024-04-27,Castro,RN,01637458000119,True,57.0,716,************19,s***@empresa.com.br
514,Ana Lívia,Correia,PF,(51) 93533-7847,1958-02-14,2024-04-27,Rios do Sul,SC,21834670969,True,68.0,716,*********69,a***@uol.com.br
124,Mariah,Pastor,PF,+5541951724638,1995-01-19,2024-04-28,Novaes Alegre,AP,92031487604,True,31.0,715,*********04,m***@hotmail.com
2091,Rhavi,Jesus,PF,+5561955224731,1960-03-09,2024-04-28,Casa Grande da Serra,RR,19375840204,True,66.0,715,*********04,r***@terra.com.br
3318,Ana Clara,Freitas,PF,(21) 92175-4150,1970-06-08,2024-04-28,Ramos da Mata,RJ,39758421646,True,55.0,715,*********46,a***@yahoo.com.br
578,João Gabriel,Câmara,PF,+5541920365953,1990-07-02,2024-04-28,Borges Alegre,PB,87913620404,True,35.0,715,*********04,j***@yahoo.com.br
1578,Bárbara,Castro,PF,+5521914311146,1981-11-19,2024-04-29,Freitas das Flores,RJ,41372985646,True,44.0,714,*********46,b***@uol.com.br
2382,Moraes & Associados S/A,,PJ,+5571957728542,2007-10-20,2024-04-29,Cassiano,RO,30416529000151,True,18.0,714,************51,m***@comercio.net.br
3250,Vinícius,Nogueira,PF,(13) 93458-8109,,2024-04-29,Sales de Casa Grande,PI,40613729803,True,,714,*********03,v***@yahoo.com.br
1502,Dom,Rezende,PF,,1965-10-30,2024-04-30,Ribeiro,PB,21873465017,True,60.0,713,*********17,d***@terra.com.br
2204,Maria Isis,da Mota,PF,(71) 94952-8540,,2024-04-30,Souza,MT,70954813260,True,,713,*********60,m***@uol.com.br
2244,Sistemas Freitas ME,,PJ,47932444209,1974-12-11,2024-04-30,Santos das Pedras,TO,47856310000176,True,51.0,713,************76,s***@comercio.net.br
2267,Maria Júlia,Gonçalves,PF,(61) 95042-7223,,2024-04-30,Alves de da Conceição,ES,02374165817,True,,713,*********17,m***@hotmail.com
482,João Vitor,Cardoso,PF,+5551994889092,1958-07-21,2024-04-30,Rodrigues de da Cruz,SC,17208963568,True,67.0,713,*********68,j***@yahoo.com.br
1577,Dom,Viana,PF,+5547916612949,1958-05-08,2024-05-01,Carvalho,MS,14389206796,True,67.0,712,*********96,d***@yahoo.com.br
2262,Rocha & Ferreira S.A.,,PJ,+5551976561215,1965-07-27,2024-05-01,Abreu,RO,93120457000110,True,60.0,712,************10,r***@empresa.com.br
2387,Ana Liz,Sousa,PF,71975594056,1962-11-28,2024-05-01,Gomes do Oeste,PB,25893407105,True,63.0,712,*********05,a***@yahoo.com.br
587,Luiz Miguel,Santos,PF,(21) 99751-1862,1982-06-30,2024-05-01,Cavalcante,RJ,94235108689,True,43.0,712,*********89,l***@ig.com.br
1398,Rhavi,Pereira,PF,61943012629,1984-02-23,2024-05-02,Siqueira Grande,RO,18360597286,True,42.0,711,*********86,r***@hotmail.com
1408,Vitória,Costa,PF,+5561996318852,2006-07-05,2024-05-02,Cassiano da Praia,MT,49583126098,True,19.0,711,*********98,v***@yahoo.com.br
1743,Nicole,Monteiro,PF,31943574115,1959-02-11,2024-05-02,Viana,PA,26981034506,True,67.0,711,*********06,n***@ig.com.br
1892,Valentim,Mendonça,PF,(51) 93152-7213,1966-06-20,2024-05-02,Teixeira,MT,62891437004,True,59.0,711,*********04,v***@hotmail.com
1965,Kaique,Guerra,PF,(51) 98416-3467,1997-08-22,2024-05-02,da Cruz de Minas,CE,13260598740,True,28.0,711,*********40,k***@gmail.com
2972,Lima & Costa EI,,PJ,+5511936877400,1981-07-15,2024-05-02,Vargas,AL,47192650000140,True,44.0,711,************40,l***@comercio.net.br
478,Marcos Vinicius,Carvalho,PF,(21) 96770-6587,1977-01-12,2024-05-02,Marques,ES,85679321068,True,49.0,711,*********68,m***@ig.com.br
490,Daniel,Albuquerque,PF,11945416068,1981-07-17,2024-05-02,Barbosa,RS,70486152901,True,44.0,711,*********01,d***@ig.com.br
129,Leandro,Araújo,PF,+5561993213583,1959-04-28,2024-05-03,Duarte,PI,65901438205,True,67.0,710,*********05,l***@hotmail.com
1775,Olívia,Cardoso,PF,61919985673,1992-07-02,2024-05-03,da Cunha Grande,AP,98510374279,True,33.0,710,*********79,o***@ig.com.br
1882,Vieira & Lopes ME,,PJ,+5571968609770,1984-10-06,2024-05-03,Santos de Câmara,ES,65871204000143,True,41.0,710,************43,v***@comercio.net.br
2084,Daniel,Costela,PF,(11) 91583-2238,,2024-05-03,Costela da Praia,RO,40879152630,True,,710,*********30,d***@hotmail.com
2571,Luigi,Gonçalves,PF,+5561949878392,1969-05-04,2024-05-03,Gonçalves Verde,DF,40562891315,True,56.0,710,*********15,l***@bol.com.br
464,Nunes & Dias EI,,PJ,+5551945848617,1996-11-23,2024-05-03,da Rosa,RR,06513294000131,True,29.0,710,************31,n***@empresa.com.br
64,Ana Sophia,Correia,PF,13948243360,1998-08-06,2024-05-03,Moreira,RN,53964270199,True,27.0,710,*********99,a***@bol.com.br
1153,Rafaela,Aparecida,PF,(41) 96662-8448,1986-03-14,2024-05-04,Santos da Praia,MG,91825607303,True,40.0,709,*********03,r***@gmail.com
1377,Pedro Henrique,Montenegro,PF,(11) 98039-2711,1987-05-30,2024-05-04,Vargas,AL,21357084960,True,38.0,709,*********60,p***@outlook.com
2893,Pedro,Monteiro,PF,+5551913373636,1957-04-30,2024-05-04,da Mata,PR,56417920399,True,69.0,709,*********99,p***@outlook.com
1889,Carlos Eduardo,Sousa,PF,51980484282,1957-03-06,2024-05-05,Aparecida Paulista,GO,70821654390,True,69.0,708,*********90,c***@ig.com.br
2456,Ísis,Rios,PF,(11) 94302-6877,1961-04-29,2024-05-05,Gonçalves,AC,90645731820,True,65.0,708,*********20,s***@hotmail.com
2831,Bianca,Melo,PF,+5561974579196,1982-11-02,2024-05-05,Almeida,AL,65129037499,True,43.0,708,*********99,b***@ig.com.br
2842,Thomas,Rocha,PF,+5547993007053,1992-06-25,2024-05-06,Moura das Flores,RR,61829074520,True,33.0,707,*********20,t***@hotmail.com
3368,Maria Clara,Cassiano,PF,+5541957029855,,2024-05-06,da Conceição de Lima,ES,58790423674,True,,707,*********74,m***@gmail.com
1826,Vitor Hugo,Aparecida,PF,(21) 91434-8418,1960-01-17,2024-05-07,Cavalcante,PA,95801234624,True,66.0,706,*********24,v***@ig.com.br
2157,Gabriel,da Mata,PF,,1998-01-16,2024-05-07,Sales Alegre,AP,79654831066,True,28.0,706,*********66,g***@bol.com.br
2434,Oliveira Importadora e Soluções Ltda.,,PJ,(31) 92700-7102,1973-04-11,2024-05-07,da Mota de Caldeira,RN,57314890000123,True,53.0,706,************23,o***@empresa.com.br
3087,Almeida & Associados EI,,PJ,21970341252,,2024-05-07,Aparecida,AM,80546139000174,True,,706,************74,a***@comercio.net.br
3176,Souza & Jesus EPP,,PJ,+5511942363641,2007-12-14,2024-05-07,Farias,GO,62197830000108,True,18.0,706,************08,s***@comercio.net.br
467,Luiz Miguel,Andrade,PF,+5571970239428,1963-05-24,2024-05-07,Campos,SE,29841367564,True,62.0,706,*********64,l***@uol.com.br
2316,Ana Carolina,Almeida,PF,+5551918447973,1992-02-13,2024-05-08,Correia,SP,80652174949,True,34.0,705,*********49,a***@hotmail.com
2595,Aurora,Camargo,PF,,1975-10-12,2024-05-08,Silveira de Siqueira,SE,13872604562,True,50.0,705,*********62,a***@uol.com.br
3201,Carolina,Correia,PF,47996071566,1985-12-01,2024-05-08,Duarte do Amparo,PA,34952076865,True,40.0,705,*********65,c***@yahoo.com.br
375,Melina,Monteiro,PF,47995369308,1971-06-24,2024-05-08,Martins do Oeste,AM,60728591359,True,54.0,705,*********59,m***@bol.com.br
932,Felipe,da Mota,PF,+5511954349558,2006-03-16,2024-05-08,Nascimento do Amparo,MG,24706918502,True,20.0,705,*********02,f***@bol.com.br
1188,Theodoro,Brito,PF,21961552971,1967-12-28,2024-05-09,Teixeira de Martins,PE,69374820196,True,58.0,704,*********96,t***@hotmail.com
1561,Alana,Martins,PF,11939077505,1961-03-20,2024-05-09,Silveira,PA,17628054307,True,65.0,704,*********07,a***@outlook.com
2726,Sistemas Araújo EI,,PJ,+5551938198410,1991-07-03,2024-05-09,Leão,ES,02458769000183,True,34.0,704,************83,s***@empresa.com.br
2939,Davi Luiz,Barbosa,PF,,1970-02-07,2024-05-09,Ferreira do Galho,AL,32017954888,True,56.0,704,*********88,d***@ig.com.br
1257,Kaique,Pereira,PF,(13) 96096-4431,1968-01-19,2024-05-10,Moura de Casa Grande,PE,04731826969,True,58.0,703,*********69,k***@gmail.com
153,Davi Miguel,Novais,PF,,1978-03-13,2024-05-10,Marques dos Dourados,GO,08215396470,True,48.0,703,*********70,d***@outlook.com
1780,Anthony Gabriel,Almeida,PF,+5547993821844,1999-12-26,2024-05-10,Costa,AL,50627481949,True,26.0,703,*********49,a***@yahoo.com.br
2049,Leandro,Abreu,PF,(47) 92441-5698,1999-07-12,2024-05-10,Nascimento,MS,51967234043,True,26.0,703,*********43,l***@gmail.com
2686,Isadora,Vieira,PF,(21) 97433-3691,1989-05-12,2024-05-10,Vieira,PB,23018456726,True,36.0,703,*********26,i***@uol.com.br
3126,Maria Luiza,Moura,PF,(47) 99598-9425,1981-05-23,2024-05-10,Castro Alegre,ES,63057219802,True,44.0,703,*********02,m***@yahoo.com.br
1878,Luna,Guerra,PF,+5531930232991,1981-11-21,2024-05-11,das Neves,AM,43092671813,True,44.0,702,*********13,l***@uol.com.br
2195,Ana Vitória,Fernandes,PF,(71) 93058-6676,1980-03-25,2024-05-11,Duarte da Serra,PA,07465821967,True,46.0,702,*********67,a***@hotmail.com
2926,Davi Lucca,Ferreira,PF,31961275061,1981-04-22,2024-05-11,Cavalcanti,RJ,28031764913,True,45.0,702,*********13,d***@gmail.com
777,Antony,Pastor,PF,+5511918988405,1973-02-24,2024-05-11,Barros,PE,86703951420,True,53.0,702,*********20,a***@ig.com.br
1302,Pereira & Silva EI,,PJ,+5551919615211,1993-06-03,2024-05-12,das Neves,AP,81569324000147,True,32.0,701,************47,p***@empresa.com.br
1536,Arthur,Nunes,PF,(41) 98320-6414,1958-08-31,2024-05-12,Farias de Abreu,MT,15089432651,True,67.0,701,*********51,a***@outlook.com
1559,Benicio,Cardoso,PF,47920957036,1987-09-14,2024-05-12,Nascimento,CE,64358107966,True,38.0,701,*********66,b***@yahoo.com.br
3273,Emanuella,Silveira,PF,(41) 91478-5836,1979-05-11,2024-05-12,Cassiano de Campos,CE,94273061570,True,46.0,701,*********70,k***@hotmail.com
389,Guilherme,Ferreira,PF,(13) 99256-4604,,2024-05-12,Gonçalves,SC,21548679364,True,,701,*********64,g***@gmail.com
466,Sophie,Cavalcanti,PF,(61) 99779-5808,1962-10-12,2024-05-12,Pimenta,PE,30582196795,True,63.0,701,*********95,s***@terra.com.br
625,Alexandre,Lima,PF,+5513916803227,,2024-05-12,Teixeira do Campo,RS,12987540388,True,,701,*********88,a***@yahoo.com.br
741,Luan,Jesus,PF,61954368622,1965-05-27,2024-05-12,Cassiano de Goiás,SC,01567498230,True,60.0,701,*********30,l***@yahoo.com.br
835,Henrique,Barbosa,PF,51950747323,1994-10-23,2024-05-12,Sousa,TO,61890372595,True,31.0,701,*********95,h***@terra.com.br
1077,Josué,da Rocha,PF,+5551972344094,,2024-05-13,Alves,BA,86359072130,True,,700,*********30,j***@hotmail.com
1840,Gustavo,Borges,PF,(31) 92867-5771,1987-07-31,2024-05-13,Rios do Norte,MG,92540317634,True,38.0,700,*********34,g***@bol.com.br
240,Mendes & Associados ME,,PJ,+5531935428093,1966-08-17,2024-05-13,Rezende,GO,49817052000144,True,59.0,700,************44,m***@comercio.net.br
2751,Sophie,Fogaça,PF,(13) 95845-4473,,2024-05-13,Camargo,DF,65397421855,True,,700,*********55,a***@gmail.com
3302,Ísis,Campos,PF,+5561927207709,,2024-05-13,Cassiano,PR,53819647228,True,,700,*********28,s***@uol.com.br
3372,Bernardo,Vasconcelos,PF,71962086172,1981-01-04,2024-05-13,Rezende de Melo,RS,39280715640,True,45.0,700,*********40,b***@ig.com.br
387,Comércio Machado S/A,,PJ,47965114216,2008-03-26,2024-05-13,Barros,GO,91687354000101,True,18.0,700,************01,c***@comercio.net.br
548,Benicio,Alves,PF,+5571930481680,,2024-05-13,Cardoso,MG,62034791878,True,,700,*********78,b***@ig.com.br
922,Bruno,da Costa,PF,(21) 94967-6610,2004-03-18,2024-05-13,Pereira,MS,43790261599,True,22.0,700,*********99,b***@terra.com.br
1035,Cunha & Jesus S.A.,,PJ,41960819814,1994-05-17,2024-05-14,Sales de da Luz,RO,20867451000138,True,31.0,699,************38,c***@comercio.net.br
1066,Garcia Distribuidora e Informática EIRELI,,PJ,+5511916224391,2007-08-21,2024-05-14,da Costa de Cunha,MS,45037681000109,True,18.0,699,************09,g***@comercio.net.br
2721,Vinicius,Mendonça,PF,31981674066,2004-05-07,2024-05-15,Monteiro de Pacheco,RS,85074612390,True,21.0,698,*********90,v***@terra.com.br
49,Luana,Araújo,PF,+5551913677106,1999-01-26,2024-05-15,Novaes,SE,47618520976,True,27.0,698,*********76,l***@bol.com.br
841,Luigi,Azevedo,PF,61965249054,2000-03-26,2024-05-15,Rodrigues,PI,94150287694,True,26.0,698,*********94,l***@outlook.com
136,Mariana,Caldeira,PF,+5571965113286,,2024-05-16,da Conceição,RS,34157829050,True,,697,*********50,m***@hotmail.com
1435,Oliver,Cunha,PF,11913905413,1988-12-20,2024-05-16,Peixoto Verde,AC,71482063590,True,37.0,697,*********90,o***@terra.com.br
1737,Ana Julia,Costa,PF,(11) 91902-1645,,2024-05-16,Nogueira de da Mota,RR,28973614509,True,,697,*********09,a***@hotmail.com
2603,Rodrigues & Associados S/A,,PJ,(21) 91451-8990,1990-11-06,2024-05-16,Barros,GO,87513264000127,True,35.0,697,************27,r***@empresa.com.br
2717,Lunna,Vargas,PF,+5531933462104,1997-03-30,2024-05-16,Campos,PR,10832746517,True,29.0,697,*********17,l***@terra.com.br
2944,Camila,Fernandes,PF,11934866518,,2024-05-16,Cirino de Fernandes,MT,59072364856,True,,697,*********56,c***@uol.com.br
3172,Manuella,da Conceição,PF,+5541945158559,,2024-05-16,Cassiano de Moraes,PA,79418532646,True,,697,*********46,m***@gmail.com
583,Caio,Novais,PF,(61) 97720-7479,1996-02-19,2024-05-16,Borges das Flores,CE,12734508680,True,30.0,697,*********80,j***@terra.com.br
2112,Alana,das Neves,PF,(11) 98228-9585,1956-04-13,2024-05-17,Carvalho da Mata,AC,24750169811,True,70.0,696,*********11,a***@uol.com.br
2690,Helena,Fonseca,PF,+5551978262302,2002-06-07,2024-05-17,Souza de Vieira,PR,42501978323,True,23.0,696,*********23,h***@yahoo.com.br
2771,Maria Liz,Gomes,PF,,1987-08-31,2024-05-17,Cassiano,MG,13957086493,True,38.0,696,*********93,e***@yahoo.com.br
3303,Sabrina,Leão,PF,(11) 97073-4106,1987-02-15,2024-05-17,da Cruz do Campo,PE,97302184550,True,39.0,696,*********50,s***@terra.com.br
1332,Consultoria Costa EIRELI,,PJ,+5571995118814,1996-01-28,2024-05-18,Ferreira da Mata,AL,20348975000112,True,30.0,695,************12,c***@comercio.net.br
1385,Alexia,Sampaio,PF,11944051033,1978-01-24,2024-05-18,da Rosa,PI,46053298115,True,48.0,695,*********15,a***@terra.com.br
1639,Ana Júlia,da Mata,PF,(21) 91928-8524,1981-02-13,2024-05-18,Sousa de Moreira,RJ,42798316022,True,45.0,695,*********22,a***@terra.com.br
2797,Maria Flor,da Luz,PF,,1970-07-13,2024-05-18,Peixoto,RN,48013927504,True,55.0,695,*********04,m***@terra.com.br
2989,Sara,Vasconcelos,PF,+5561979896323,,2024-05-18,Lopes,SE,48719620322,True,,695,*********22,s***@bol.com.br
450,Vitor Hugo,Rocha,PF,31933308807,1986-04-23,2024-05-18,Santos,GO,75049231680,True,40.0,695,*********80,v***@uol.com.br
2164,Mariane,da Rosa,PF,+5513956058013,2002-11-16,2024-05-19,Pacheco,MS,42639018515,True,23.0,694,*********15,m***@terra.com.br
2338,Ana Julia,Cassiano,PF,+5531918175848,2003-05-30,2024-05-19,da Mota Grande,MA,93842715005,True,22.0,694,*********05,a***@gmail.com
2868,Isabela,da Rosa,PF,61948601306,1998-07-28,2024-05-19,Campos,RO,78642503190,True,27.0,694,*********90,i***@ig.com.br
2947,Isadora,Ferreira,PF,47955829376,2006-07-30,2024-05-19,Leão,PB,07128459332,True,19.0,694,*********32,i***@outlook.com
3081,Maysa,Marques,PF,(47) 97395-6444,1963-11-11,2024-05-19,Costa,RN,97324801650,True,62.0,694,*********50,m***@bol.com.br
3310,Comércio Costa Ltda.,,PJ,(47) 95239-8710,,2024-05-19,Novaes Paulista,MG,17630859000187,True,,694,************87,c***@empresa.con.br
839,Yuri,Silva,PF,+5511943751946,1958-11-16,2024-05-19,Peixoto de Nunes,ES,10652834744,True,67.0,694,*********44,y***@yahoo.com.br
899,Luiz Gustavo,Siqueira,PF,41914173882,1962-04-03,2024-05-19,da Mota,AC,07926854158,True,64.0,694,*********58,l***@yahoo.com.br
1407,Erick,Monteiro,PF,11967539632,1973-02-20,2024-05-20,da Rocha da Mata,SC,53916708457,True,53.0,693,*********57,e***@terra.com.br
1469,Maria Helena,Freitas,PF,+5551967096402,1978-01-24,2024-05-20,Cunha,SP,29870315640,True,48.0,693,*********40,m***@hotmail.com
1928,Oliver,Gonçalves,PF,41989696947,1958-05-19,2024-05-20,Montenegro,DF,81534079297,True,67.0,693,*********97,o***@gmail.com
